"","GD.AT.Open","GD.AT.High","GD.AT.Low","GD.AT.Close","GD.AT.Volume","GD.AT.Adjusted"
"2021-05-27",874.239990234375,887.909973144531,873,883.390014648438,263321100,883.390014648438
"2021-05-28",885.510009765625,892.5,885.510009765625,887.599975585938,51146200,887.599975585938
"2021-05-31",889.929992675781,894.900024414062,889.929992675781,894.849975585938,20195800,894.849975585938
"2021-06-01",897.47998046875,898.650024414062,890.940002441406,894.130004882812,41474600,894.130004882812
"2021-06-02",894.659973144531,902.260009765625,894.659973144531,900.489990234375,50298200,900.489990234375
"2021-06-03",897.659973144531,899.849975585938,892.510009765625,894.940002441406,20176500,894.940002441406
"2021-06-04",895.840026855469,903.150024414062,894.140014648438,901.599975585938,30764500,901.599975585938
"2021-06-07",901.869995117188,907.049987792969,901.169982910156,902.02001953125,21772300,902.02001953125
"2021-06-08",900.72998046875,913.780029296875,900.72998046875,913.47998046875,27714700,913.47998046875
"2021-06-09",912.400024414062,915.080017089844,910.159973144531,913.340026855469,38729500,913.340026855469
"2021-06-10",911.320007324219,924.539978027344,911.320007324219,924.299987792969,45040900,924.299987792969
"2021-06-11",924.309997558594,926.320007324219,923.619995117188,925.830017089844,40240200,925.830017089844
"2021-06-14",927.22998046875,928.289978027344,922.299987792969,927.289978027344,27885000,927.289978027344
"2021-06-15",926.309997558594,927.559997558594,918.710021972656,920.030029296875,26262400,920.030029296875
"2021-06-16",920.049987792969,920.049987792969,911.02001953125,911.599975585938,24065800,911.599975585938
"2021-06-17",912.760009765625,916.429992675781,909.450012207031,914.77001953125,46159000,914.77001953125
"2021-06-18",914.690002441406,915.840026855469,905.489990234375,905.549987792969,35711500,905.549987792969
"2021-06-22",906.039978027344,912.030029296875,905.190002441406,908.099975585938,30984800,908.099975585938
"2021-06-23",909.299987792969,914.869995117188,909.299987792969,910.340026855469,18148300,910.340026855469
"2021-06-24",909.659973144531,912.780029296875,908.010009765625,909.840026855469,23966600,909.840026855469
"2021-06-25",909.210021972656,909.299987792969,903.359985351562,907.760009765625,18805300,907.760009765625
"2021-06-28",910.429992675781,910.780029296875,901.75,903.340026855469,16086200,903.340026855469
"2021-06-29",901.969970703125,904.130004882812,891.760009765625,893.599975585938,24351400,893.599975585938
"2021-06-30",894.200012207031,895.440002441406,883.960021972656,884.890014648438,35787800,884.890014648438
"2021-07-01",889.010009765625,891.859985351562,887.47998046875,888.130004882812,25295000,888.130004882812
"2021-07-02",889.380004882812,892.869995117188,884.510009765625,886.659973144531,20472400,886.659973144531
"2021-07-05",885.419982910156,886.109985351562,875.429992675781,876.960021972656,13910600,876.960021972656
"2021-07-06",876.070007324219,878.900024414062,870.510009765625,878.549987792969,40894200,878.549987792969
"2021-07-07",879.340026855469,883.659973144531,876.909973144531,877.219970703125,15509500,877.219970703125
"2021-07-08",874.27001953125,874.27001953125,856.72998046875,859.460021972656,21082400,859.460021972656
"2021-07-09",858.469970703125,875.22998046875,858.469970703125,874.25,46829300,874.25
"2021-07-12",875.760009765625,885.52001953125,873.039978027344,873.869995117188,74495300,873.869995117188
"2021-07-13",873.119995117188,874.340026855469,866.969970703125,869.719970703125,238908700,869.719970703125
"2021-07-14",868.669982910156,873.429992675781,865.059997558594,871.070007324219,85999800,871.070007324219
"2021-07-15",868.739990234375,870.789978027344,862.169982910156,863.780029296875,22734000,863.780029296875
"2021-07-16",864.349975585938,870.099975585938,863.960021972656,866.809997558594,14027900,866.809997558594
"2021-07-19",864.780029296875,864.780029296875,830.070007324219,833.159973144531,45991900,833.159973144531
"2021-07-20",837.390014648438,842.799987792969,834.510009765625,838.830017089844,21150200,838.830017089844
"2021-07-21",840.820007324219,854.429992675781,840.820007324219,854.219970703125,16800500,854.219970703125
"2021-07-22",857.190002441406,862.179992675781,854.669982910156,858.130004882812,11503400,858.130004882812
"2021-07-23",859.590026855469,864.820007324219,859.590026855469,864.440002441406,12565200,864.440002441406
"2021-07-26",864.52001953125,870.130004882812,860.130004882812,869.900024414062,9474100,869.900024414062
"2021-07-27",868.700012207031,877.25,866.510009765625,876.349975585938,15841100,876.349975585938
"2021-07-28",876.190002441406,881.52001953125,872.239990234375,877.989990234375,14915300,877.989990234375
"2021-07-29",878.299987792969,884.960021972656,878.070007324219,882.739990234375,17958700,882.739990234375
"2021-07-30",884.349975585938,888.260009765625,880.409973144531,888.260009765625,31541600,888.260009765625
"2021-08-02",889.849975585938,898.02001953125,889.849975585938,897.450012207031,21538800,897.450012207031
"2021-08-03",896.619995117188,901.190002441406,893.349975585938,895.190002441406,24092600,895.190002441406
"2021-08-04",895.989990234375,899.590026855469,895.289978027344,895.710021972656,25148000,895.710021972656
"2021-08-05",898.210021972656,904.669982910156,898.210021972656,903.330017089844,24246800,903.330017089844
"2021-08-06",902.059997558594,902.710021972656,890.340026855469,893.469970703125,14648800,893.469970703125
"2021-08-09",890.559997558594,895.419982910156,887.150024414062,893.070007324219,15632400,893.070007324219
"2021-08-10",891.710021972656,897.679992675781,891.710021972656,897.150024414062,16698300,897.150024414062
"2021-08-11",897.609985351562,900.440002441406,896.299987792969,900.099975585938,27852300,900.099975585938
"2021-08-12",899.409973144531,902.789978027344,893.260009765625,893.97998046875,15503700,893.97998046875
"2021-08-13",893.119995117188,897.059997558594,892.599975585938,895.289978027344,18713200,895.289978027344
"2021-08-16",893.969970703125,899.070007324219,889.97998046875,898.900024414062,13755100,898.900024414062
"2021-08-17",899.090026855469,901.789978027344,895.309997558594,899.880004882812,23183900,899.880004882812
"2021-08-18",900.650024414062,902.260009765625,896.590026855469,898.580017089844,11934300,898.580017089844
"2021-08-19",894.090026855469,894.090026855469,878.330017089844,881.950012207031,17029900,881.950012207031
"2021-08-20",880.010009765625,886.469970703125,878.950012207031,883.109985351562,16136500,883.109985351562
"2021-08-23",886.690002441406,899,886.690002441406,897.440002441406,18233100,897.440002441406
"2021-08-24",899.239990234375,911.169982910156,899.239990234375,907.559997558594,20287700,907.559997558594
"2021-08-25",907.929992675781,915.460021972656,907.340026855469,914.429992675781,23172800,914.429992675781
"2021-08-26",913.890014648438,916.419982910156,911.830017089844,915.75,17868300,915.75
"2021-08-27",914.77001953125,915.960021972656,912.820007324219,914.390014648438,12659900,914.390014648438
"2021-08-30",915.289978027344,929.260009765625,915.289978027344,929.260009765625,30034900,929.260009765625
"2021-08-31",929.760009765625,931.940002441406,920.75,923.150024414062,44878900,923.150024414062
"2021-09-01",926.450012207031,928.869995117188,918.059997558594,918.059997558594,44761300,918.059997558594
"2021-09-02",920.400024414062,921.299987792969,913.119995117188,917.059997558594,15229600,917.059997558594
"2021-09-03",916.340026855469,919.739990234375,912.97998046875,915.049987792969,20293400,915.049987792969
"2021-09-06",916.640014648438,920.609985351562,910.210021972656,915.619995117188,16471100,915.619995117188
"2021-09-07",915.580017089844,917.619995117188,909.260009765625,909.289978027344,14749400,909.289978027344
"2021-09-08",905.650024414062,905.650024414062,894.830017089844,905.47998046875,23292600,905.47998046875
"2021-09-09",904.049987792969,904.140014648438,892.619995117188,899.219970703125,48311700,899.219970703125
"2021-09-10",898.760009765625,904.630004882812,897.27001953125,901.130004882812,25387100,901.130004882812
"2021-09-13",904.710021972656,910.25,903.289978027344,905.369995117188,19361400,905.369995117188
"2021-09-14",905.859985351562,907.080017089844,900.130004882812,906.809997558594,20749000,906.809997558594
"2021-09-15",906.640014648438,907.47998046875,901.909973144531,904.099975585938,18775800,904.099975585938
"2021-09-16",905.840026855469,909.450012207031,905.840026855469,909.159973144531,18455500,909.159973144531
"2021-09-17",911.099975585938,913.559997558594,905.239990234375,912.809997558594,55800600,912.809997558594
"2021-09-20",902.340026855469,902.340026855469,886.070007324219,892.130004882812,30245600,892.130004882812
"2021-09-21",892.719970703125,898.25,887.559997558594,894.330017089844,33696700,894.330017089844
"2021-09-22",895.330017089844,897.669982910156,891.539978027344,894.299987792969,15940200,894.299987792969
"2021-09-23",897.690002441406,902.659973144531,884.030029296875,886.719970703125,22793800,886.719970703125
"2021-09-24",882.080017089844,882.080017089844,866.52001953125,873.099975585938,33055300,873.099975585938
"2021-09-27",871.710021972656,879.570007324219,871.710021972656,875.429992675781,19048300,875.429992675781
"2021-09-28",874.409973144531,874.739990234375,860.030029296875,860.030029296875,15967000,860.030029296875
"2021-09-29",859.849975585938,867.159973144531,854.859985351562,866.349975585938,17020000,866.349975585938
"2021-09-30",868.77001953125,873.169982910156,861.580017089844,865.340026855469,27597200,865.340026855469
"2021-10-01",860.450012207031,872.52001953125,853.869995117188,871.059997558594,14375100,871.059997558594
"2021-10-04",869.840026855469,876.97998046875,868.710021972656,871.880004882812,12171800,871.880004882812
"2021-10-05",869.27001953125,882.179992675781,868.859985351562,882.099975585938,13216200,882.099975585938
"2021-10-06",880.22998046875,880.580017089844,873.119995117188,876.369995117188,18160900,876.369995117188
"2021-10-07",879.640014648438,891.25,879.640014648438,889.090026855469,41752100,889.090026855469
"2021-10-08",889.489990234375,896.070007324219,886.890014648438,892.599975585938,26337500,892.599975585938
"2021-10-11",891.320007324219,891.469970703125,883.510009765625,884.049987792969,12733900,884.049987792969
"2021-10-12",880.109985351562,890.609985351562,879.599975585938,890.609985351562,21681900,890.609985351562
"2021-10-13",890.030029296875,895.789978027344,883.760009765625,884.109985351562,15142500,884.109985351562
"2021-10-14",886.010009765625,891,884.719970703125,888.590026855469,10464100,888.590026855469
"2021-10-15",891.119995117188,894.960021972656,889.390014648438,894.739990234375,19892000,894.739990234375
"2021-10-18",894.030029296875,899.030029296875,889.919982910156,891.299987792969,28838600,891.299987792969
"2021-10-19",890.969970703125,898.960021972656,890.469970703125,898.960021972656,20632900,898.960021972656
"2021-10-20",899.719970703125,908.179992675781,899.409973144531,908.130004882812,37867800,908.130004882812
"2021-10-21",908.440002441406,908.440002441406,902.580017089844,905.530029296875,23227600,905.530029296875
"2021-10-22",906.640014648438,911.460021972656,905.039978027344,905.039978027344,22051200,905.039978027344
"2021-10-25",908.809997558594,908.809997558594,899.619995117188,901.150024414062,49976300,901.150024414062
"2021-10-26",903.390014648438,906.309997558594,901.330017089844,902.090026855469,18643200,902.090026855469
"2021-10-27",902.890014648438,907.140014648438,901.580017089844,906.570007324219,18239600,906.570007324219
"2021-10-29",906.809997558594,907.02001953125,894.580017089844,898.059997558594,33396900,898.059997558594
"2021-11-01",901.400024414062,910.409973144531,901.400024414062,905.159973144531,17330500,905.159973144531
"2021-11-02",904.669982910156,906.309997558594,902.590026855469,904.469970703125,25031900,904.469970703125
"2021-11-03",905.530029296875,911.780029296875,905.530029296875,908.119995117188,23670500,908.119995117188
"2021-11-04",908.72998046875,912.340026855469,907.219970703125,908.619995117188,16498400,908.619995117188
"2021-11-05",909.619995117188,910.289978027344,899.030029296875,906.849975585938,19437000,906.849975585938
"2021-11-08",908.460021972656,922.150024414062,905.099975585938,921.260009765625,20831100,921.260009765625
